rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,pe_dyn,peg,eyield,exp_ret,discount,pb,market_cap_yi_hkd,fail_reasons
1,-,33.88,hk,08646,中国宏光,0.29,29,港股,1,,,,,,,,3.66,3.66,,27.32,,0.0,0.41,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2,-,33.88,hk,08637,元续科技,3.71,371,港股,1,,,,,,,,9.11,9.11,,10.98,,0.0,1.15,5.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
3,-,33.88,hk,08619,NIU HOLDINGS,0.14,13,港股,1,,,,,,,,1.02,1.02,,98.04,,0.0,0.09,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
4,-,33.88,hk,08601,宝燵控股,0.23,23,港股,1,,,,,,,,8.22,8.22,,12.17,,0.0,1.25,1.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
5,-,33.88,hk,08537,创辉珠宝,0.16,16,港股,1,,,,,,,,3.59,3.59,,27.86,,0.0,0.45,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
6,-,33.88,hk,08512,凯富善集团控股,0.40,39,港股,1,,,,,,,,3.58,3.58,,27.93,,0.0,0.48,3.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
7,-,33.88,hk,08509,威扬酒业控股,0.61,61,港股,1,,,,,,,,6.42,6.42,,15.58,,0.0,0.71,2.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
8,-,33.88,hk,08502,远航港口,0.31,31,港股,1,,,,,,,,4.29,4.29,,23.31,,0.0,0.37,2.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
9,-,33.88,hk,08481,盛龙锦秀国际,0.32,32,港股,1,,,,,,,,1.54,1.54,,64.94,,0.0,0.36,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
10,-,33.88,hk,08480,飞霓控股,0.17,17,港股,1,,,,,,,,3.02,3.02,,33.11,,0.0,0.39,1.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
11,-,33.88,hk,08473,弥明生活百货,0.10,10,港股,1,,,,,,,,9.08,9.08,,11.01,,0.0,1.48,1.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
12,-,33.88,hk,08446,耀星科技集团,0.10,9,港股,1,,,,,,,,4.16,4.16,,24.04,,0.0,0.44,1.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
13,-,33.88,hk,08432,太平洋酒吧,0.04,3,港股,1,,,,,,,,2.40,2.40,,41.67,,0.0,1.63,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
14,-,33.88,hk,08426,雅居投资控股,0.26,25,港股,1,,,,,,,,9.34,9.34,,10.71,,0.0,1.27,2.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
15,-,33.88,hk,08416,HM INTL HLDGS,0.12,11,港股,1,,,,,,,,6.30,6.30,,15.87,,0.0,0.61,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
16,-,33.88,hk,08373,靛蓝星,0.70,70,港股,1,,,,,,,,2.38,2.38,,42.02,,0.0,0.24,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
17,-,33.88,hk,08371,尝高美集团,1.90,190,港股,1,,,,,,,,6.19,6.19,,16.16,,0.0,2.17,7.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
18,-,33.88,hk,08368,中国创意控股,0.21,21,港股,1,,,,,,,,2.49,2.49,,40.16,,0.0,0.32,1.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
19,-,33.88,hk,08356,进业控股,0.31,31,港股,1,,,,,,,,3.06,3.06,,32.68,,0.0,-0.70,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
20,-,33.88,hk,08350,立桥证券控股,0.34,34,港股,1,,,,,,,,6.12,6.12,,16.34,,0.0,2.29,3.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
21,-,33.88,hk,08341,艾硕控股,0.15,15,港股,1,,,,,,,,6.51,6.51,,15.36,,0.0,0.22,0.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
22,-,33.88,hk,08291,港娱国际,0.22,22,港股,1,,,,,,,,3.23,3.23,,30.96,,0.0,-0.18,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
23,-,33.88,hk,08271,环球数码创意,0.09,8,港股,1,,,,,,,,9.53,9.53,,10.49,,0.0,0.34,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
24,-,33.88,hk,08237,华星控股,1.14,113,港股,1,,,,,,,,1.29,1.29,,77.52,,0.0,2.15,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
25,-,33.88,hk,08222,壹照明,0.05,5,港股,1,,,,,,,,7.46,7.46,,13.40,,0.0,3.34,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
26,-,33.88,hk,08217,菊福堂生物,0.13,12,港股,1,,,,,,,,1.88,1.88,,53.19,,0.0,0.78,0.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
27,-,33.88,hk,08188,骏杰集团控股,1.19,119,港股,1,,,,,,,,6.50,6.50,,15.38,,0.0,2.71,5.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
28,-,33.88,hk,08162,港银控股,0.59,59,港股,1,,,,,,,,9.05,9.05,,11.05,,0.0,2.70,5.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
29,-,33.88,hk,08158,中国再生医学,0.31,31,港股,1,,,,,,,,3.43,3.43,,29.15,,0.0,1.76,0.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
30,-,33.88,hk,08152,明梁控股,0.08,8,港股,1,,,,,,,,5.28,5.28,,18.94,,0.0,0.44,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
31,-,33.88,hk,08140,人和科技,0.10,10,港股,1,,,,,,,,2.49,2.49,,40.16,,0.0,0.37,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
32,-,33.88,hk,08103,HMVOD视频,0.13,13,港股,1,,,,,,,,1.37,1.37,,72.99,,0.0,-0.33,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
33,-,33.88,hk,08095,北大青鸟环宇,0.80,80,港股,1,,,,,,,,6.59,6.59,,15.17,,0.0,0.27,12.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
34,-,33.88,hk,08073,水发兴业新材料,0.25,25,港股,1,,,,,,,,6.27,6.27,,15.95,,0.0,0.63,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
35,-,33.88,hk,08070,侨洋国际控股,1.13,112,港股,1,,,,,,,,5.52,5.52,,18.12,,0.0,1.79,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
36,-,33.88,hk,08056,生活概念,0.25,25,港股,1,,,,,,,,0.60,0.60,,166.67,,0.0,-0.39,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
37,-,33.88,hk,08051,讯智海,2.48,248,港股,1,,,,,,,,7.93,7.93,,12.61,,0.0,0.38,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
38,-,33.88,hk,08049,吉林长龙药业,2.30,229,港股,1,,,,,,,,5.85,5.85,,17.09,,0.0,0.69,12.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
39,-,33.88,hk,08033,爱达利网络,0.11,11,港股,1,,,,,,,,6.33,6.33,,15.80,,0.0,0.31,0.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
40,-,33.88,hk,08030,丰银禾控股,1.50,150,港股,1,,,,,,,,9.96,9.96,,10.04,,0.0,1.96,5.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
41,-,33.88,hk,08028,天时资源,0.14,13,港股,1,,,,,,,,6.20,6.20,,16.13,,0.0,0.98,0.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
42,-,33.88,hk,08027,吉辉控股,0.13,13,港股,1,,,,,,,,4.00,4.00,,25.00,,0.0,0.46,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
43,-,33.88,hk,08021,汇隆控股,0.16,16,港股,1,,,,,,,,3.05,3.05,,32.79,,0.0,5.19,1.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
44,-,33.88,hk,08003,世大控股,0.08,7,港股,1,,,,,,,,1.14,1.14,,87.72,,0.0,9.66,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
45,-,33.88,hk,82333,长城汽车-R,7.62,762,港股,1,,,,,,,,7.18,7.18,,13.93,,0.0,0.74,650.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
46,-,33.88,hk,82318,中国平安-R,44.40,4440,港股,1,,,,,,,,6.05,6.05,,16.53,,0.0,0.79,8039.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
47,-,33.88,hk,81024,快手-WR,35.94,3594,港股,1,,,,,,,,8.86,8.86,,11.29,,0.0,1.90,1555.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
48,-,33.88,hk,80883,中国海洋石油-R,17.58,1757,港股,1,,,,,,,,6.70,6.70,,14.93,,0.0,1.00,8355.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
49,-,33.88,hk,09998,光荣控股,0.39,39,港股,1,,,,,,,,2.86,2.86,,34.97,,0.0,0.92,3.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
50,-,33.88,hk,09983,建业新生活,0.34,34,港股,1,,,,,,,,2.57,2.57,,38.91,,0.0,0.21,4.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
51,-,33.88,hk,09982,中原建业,0.10,9,港股,1,,,,,,,,7.19,7.19,,13.91,,0.0,0.13,3.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
52,-,33.88,hk,09979,绿城管理控股,1.80,180,港股,1,,,,,,,,7.76,7.76,,12.89,,0.0,0.90,36.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
53,-,33.88,hk,09973,奇瑞汽车,24.34,2434,港股,1,,,,,,,,6.82,6.82,,14.66,,0.0,2.26,1413.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
54,-,33.88,hk,09961,携程集团-S,311.60,31160,港股,1,,,,,,,,6.36,6.36,,15.72,,0.0,1.19,2230.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
55,-,33.88,hk,09919,艾德韦宣集团,0.77,77,港股,1,,,,,,,,6.82,6.82,,14.66,,0.0,1.51,5.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
56,-,33.88,hk,09916,兴业物联,0.37,37,港股,1,,,,,,,,2.97,2.97,,33.67,,0.0,0.25,1.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
57,-,33.88,hk,09909,宝龙商业,2.09,209,港股,1,,,,,,,,5.20,5.20,,19.23,,0.0,0.35,13.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
58,-,33.88,hk,09908,嘉兴燃气,8.50,850,港股,1,,,,,,,,7.02,7.02,,14.25,,0.0,0.86,11.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
59,-,33.88,hk,09899,网易云音乐,102.90,10290,港股,1,,,,,,,,7.11,7.11,,14.06,,0.0,1.57,216.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
60,-,33.88,hk,09898,微博-SW,56.50,5650,港股,1,,,,,,,,4.73,4.73,,21.14,,0.0,0.46,138.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
61,-,33.88,hk,09890,贪玩,9.99,999,港股,1,,,,,,,,3.16,3.16,,31.65,,0.0,1.13,52.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
62,-,33.88,hk,09676,十月稻田,3.78,378,港股,1,,,,,,,,8.42,8.42,,11.88,,0.0,0.96,39.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
63,-,33.88,hk,09616,东软睿新集团,2.01,200,港股,1,,,,,,,,2.90,2.90,,34.48,,0.0,0.47,13.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
64,-,33.88,hk,09608,宋都服务,0.04,4,港股,1,,,,,,,,8.62,8.62,,11.60,,0.0,0.37,1.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
65,-,33.88,hk,07489,岚图汽车,2.90,290,港股,1,,,,,,,,9.47,9.47,,10.56,,0.0,0.91,106.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
66,-,33.88,hk,06998,亿腾嘉和,1.66,166,港股,1,,,,,,,,7.47,7.47,,13.39,,0.0,0.78,33.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
67,-,33.88,hk,06989,卓越商企服务,0.55,55,港股,1,,,,,,,,5.89,5.89,,16.98,,0.0,0.16,6.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
68,-,33.88,hk,06980,八马茶业,21.06,2106,港股,1,,,,,,,,7.27,7.27,,13.76,,0.0,0.95,17.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
69,-,33.88,hk,06959,长久股份,3.17,317,港股,1,,,,,,,,4.09,4.09,,24.45,,0.0,1.13,6.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
70,-,33.88,hk,06929,业聚医疗,3.90,390,港股,1,,,,,,,,9.90,9.90,,10.10,,0.0,1.00,32.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
71,-,33.88,hk,06919,人瑞人才,3.84,384,港股,1,,,,,,,,6.21,6.21,,16.10,,0.0,0.42,6.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
72,-,33.88,hk,06896,金嗓子,3.02,302,港股,1,,,,,,,,8.03,8.03,,12.45,,0.0,1.46,22.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
73,-,33.88,hk,06890,康利国际控股,0.71,71,港股,1,,,,,,,,9.71,9.71,,10.30,,0.0,0.43,4.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
74,-,33.88,hk,06886,华泰证券,16.70,1670,港股,1,,,,,,,,7.68,7.68,,13.02,,0.0,0.75,1507.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
75,-,33.88,hk,06882,东瀛游,0.46,45,港股,1,,,,,,,,6.58,6.58,,15.20,,0.0,2.15,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
76,-,33.88,hk,06881,中国银河,7.36,736,港股,1,,,,,,,,5.61,5.61,,17.83,,0.0,0.59,804.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
77,-,33.88,hk,06866,佐力科创,0.33,32,港股,1,,,,,,,,5.79,5.79,,17.27,,0.0,0.17,3.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
78,-,33.88,hk,06833,兴科蓉医药,0.16,16,港股,1,,,,,,,,8.43,8.43,,11.86,,0.0,0.42,3.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
79,-,33.88,hk,06831,绿茶集团,5.60,560,港股,1,,,,,,,,6.85,6.85,,14.60,,0.0,1.94,36.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
80,-,33.88,hk,06830,华众车载,0.22,21,港股,1,,,,,,,,9.68,9.68,,10.33,,0.0,0.25,3.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
81,-,33.88,hk,06828,北京燃气蓝天,0.03,2,港股,1,,,,,,,,6.83,6.83,,14.64,,0.0,0.44,6.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
82,-,33.88,hk,06820,友谊时光,0.43,43,港股,1,,,,,,,,9.09,9.09,,11.00,,0.0,0.68,9.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
83,-,33.88,hk,06811,太兴集团,1.07,107,港股,1,,,,,,,,9.62,9.62,,10.40,,0.0,1.16,10.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
84,-,33.88,hk,06806,申万宏源,2.50,250,港股,1,,,,,,,,5.66,5.66,,17.67,,0.0,0.48,626.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
85,-,33.88,hk,06690,海尔智家,19.98,1998,港股,1,,,,,,,,8.93,8.93,,11.20,,0.0,1.32,1873.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
86,-,33.88,hk,06686,诺亚控股,17.00,1700,港股,1,,,,,,,,10.01,10.01,,9.99,,0.0,0.51,59.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
87,-,33.88,hk,06668,星盛商业,1.22,122,港股,1,,,,,,,,7.84,7.84,,12.76,,0.0,0.88,12.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
88,-,33.88,hk,06666,恒大物业,0.77,77,港股,1,,,,,,,,7.62,7.62,,13.12,,0.0,4.69,83.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
89,-,33.88,hk,06661,湖州燃气,5.00,499,港股,1,,,,,,,,9.66,9.66,,10.35,,0.0,0.72,10.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
90,-,33.88,hk,06655,华新建材,11.54,1154,港股,1,,,,,,,,6.63,6.63,,15.08,,0.0,0.64,239.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
91,-,33.88,hk,06626,越秀服务,1.56,156,港股,1,,,,,,,,7.73,7.73,,12.94,,0.0,0.60,23.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
92,-,33.88,hk,06603,IFBH,5.83,583,港股,1,,,,,,,,8.71,8.71,,11.48,,0.0,1.17,15.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
93,-,33.88,hk,06198,青岛港,6.30,630,港股,1,,,,,,,,6.96,6.96,,14.37,,0.0,0.77,408.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
94,-,33.88,hk,06178,光大证券,7.38,738,港股,1,,,,,,,,7.47,7.47,,13.39,,0.0,0.48,340.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
95,-,33.88,hk,06169,宇华教育,0.35,35,港股,1,,,,,,,,1.70,1.70,,58.82,,0.0,0.15,15.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
96,-,33.88,hk,06168,周六福,15.28,1528,港股,1,,,,,,,,7.66,7.66,,13.05,,0.0,1.43,65.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
97,-,33.88,hk,06136,康达环保,0.78,78,港股,1,,,,,,,,6.85,6.85,,14.60,,0.0,0.26,18.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
