rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
2480,-,30.02,us,SLM,SLM Corporation - Common Stock,25.91,2591,SLM Corporation - Common Stock,1,,,,,,,,6.53,,15.31,,0.0,2.00,48.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2481,-,27.12,us,SLMT,Brera Holdings PLC - Class B Ordinary Shares,5.00,500,Brera Holdings PLC - Class B Ordinary Shares,1,,,,,,,,-0.12,,,,0.0,0.33,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2482,-,27.12,us,SLN,Silence Therapeutics Plc - American Depository Share,10.64,1064,Silence Therapeutics Plc - American Depository Share,1,,,,,,,,-6.70,,,,0.0,10.17,5.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2483,-,27.12,us,SLNG,"Stabilis Solutions, Inc. - Common Stock",4.01,401,"Stabilis Solutions, Inc. - Common Stock",1,,,,,,,,-19.46,,,,0.0,1.18,0.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2484,-,27.12,us,SLNH,"Soluna Holdings, Inc. - Common Stock",1.42,141,"Soluna Holdings, Inc. - Common Stock",1,,,,,,,,-3.53,,,,0.0,4.72,2.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2485,-,27.12,us,SLP,"Simulations Plus, Inc. - Common Stock",18.43,1842,"Simulations Plus, Inc. - Common Stock",1,,,,,,,,-5.93,,,,0.0,2.78,3.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2486,-,27.12,us,SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",14.13,1412,"SELLAS Life Sciences Group, Inc.  - Common Stock",1,,,,,,,,-94.31,,,,0.0,25.86,27.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2487,-,30.02,us,SLSN,"Solesence, Inc. - Common stock",0.75,74,"Solesence, Inc. - Common stock",1,,,,,,,,55.86,,1.79,,0.0,3.11,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2488,-,27.12,us,SLXN,Silexion Therapeutics Corp - Ordinary Shares,2.54,254,Silexion Therapeutics Corp - Ordinary Shares,1,,,,,,,,-0.17,,,,0.0,7.52,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2489,-,30.02,us,SMBC,"Southern Missouri Bancorp, Inc. - Common Stock",76.14,7613,"Southern Missouri Bancorp, Inc. - Common Stock",1,,,,,,,,12.45,,8.03,,0.0,1.46,8.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2490,-,30.02,us,SMCI,"Super Micro Computer, Inc. - Common Stock",29.34,2934,"Super Micro Computer, Inc. - Common Stock",1,,,,,,,,15.22,,6.57,,0.0,2.51,189.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2491,-,30.02,us,SMID,Smith-Midland Corporation - Common Stock,29.80,2980,Smith-Midland Corporation - Common Stock,1,,,,,,,,15.03,,6.65,,0.0,2.84,1.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
