rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
1,-,25.97,us,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,10.49,1049,Artius II Acquisition Inc. - Class A Ordinary Shares,0,,,,,,-0.00,112.0,53.27,,1.88,,0.0,1.35,2.9,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2,-,19.12,us,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",1.01,101,"ATA Creativity Global - American Depositary Shares, each representing two common shares",0,-88.6,48.6,-17.9,-38.9,,0.33,92.2,-6.43,,,,0.0,9.64,0.4,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
3,-,52.19,us,AAL,"American Airlines Group, Inc. - Common Stock",18.18,1817,"American Airlines Group, Inc. - Common Stock",1,-12.5,,1.6,547.2,,4.63,,59.51,0.11,1.68,275.9,48.7,-2.95,120.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; 盈收率≤5.0%
4,-,30.02,us,AAME,Atlantic American Corporation - Common Stock,1.72,172,Atlantic American Corporation - Common Stock,1,,,,,,,,6.87,,14.56,,0.0,0.32,0.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
5,-,23.27,us,AAOI,"Applied Optoelectronics, Inc. - Common Stock",151.33,15133,"Applied Optoelectronics, Inc. - Common Stock",0,-25.5,27.1,-25.8,15.6,,0.14,58.1,-280.20,,,,0.0,10.98,121.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
6,-,46.52,us,AAON,"AAON, Inc. - Common Stock",128.17,12816,"AAON, Inc. - Common Stock",1,,,,77.0,31.0,0.89,,88.88,2.87,1.13,10.5,197.0,11.24,105.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
7,-,27.12,us,AAPG,Ascentage Pharma Group International - American Depository Shares,17.70,1770,Ascentage Pharma Group International - American Depository Shares,1,,,,,,,,-9.35,,,,0.0,8.77,16.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
8,-,54.04,us,AAPL,Apple Inc. - Common Stock,285.84,28584,Apple Inc. - Common Stock,0,170.5,44.1,25.3,-2.8,19.1,1.14,84.4,34.25,,2.92,,0.0,39.42,41982.5,负债率≥70.0%; 同比<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
9,-,30.98,us,AARD,"Aardvark Therapeutics, Inc. - Common Stock",5.08,508,"Aardvark Therapeutics, Inc. - Common Stock",1,,,,,,0.88,7.0,-1.59,,,,0.0,1.27,1.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
10,-,15.75,us,ABAT,American Battery Technology Company - Common Stock,2.83,282,American Battery Technology Company - Common Stock,0,-95.0,-862.1,-15284.4,-146.0,,0.32,20.9,-6.06,,,,0.0,3.42,3.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
11,-,17.95,us,ABCL,AbCellera Biologics Inc. - Common Shares,8.06,806,AbCellera Biologics Inc. - Common Shares,0,-13.0,,-385.0,-192.4,,0.30,22.4,-17.10,,,,0.0,2.62,24.6,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
12,-,20.93,us,ABEO,Abeona Therapeutics Inc. - Common Stock,5.86,585,Abeona Therapeutics Inc. - Common Stock,1,-306.5,,-1095.1,-17.6,,0.88,59.6,5.05,,19.80,,0.0,2.30,3.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
13,-,59.08,us,ABLV,Able View Global Inc. - Class B Ordinary Shares,1.10,110,Able View Global Inc. - Class B Ordinary Shares,0,170.6,23.5,7.5,23.4,,2.42,85.1,66.25,2.84,1.51,8.2,23.9,6.99,0.5,负债率≥70.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%
14,-,73.28,us,ABNB,"Airbnb, Inc. - Class A Common Stock",146.84,14684,"Airbnb, Inc. - Class A Common Stock",1,92.7,,48.3,153.1,,0.81,59.9,35.16,0.23,2.84,130.7,61.6,11.59,885.0,毛利<30.0%; CAGR<10.0%; 盈收率≤5.0%
15,-,23.23,us,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",2.79,279,"Acumen Pharmaceuticals, Inc. - Common Stock",1,-44.9,,,-95.4,,0.84,23.9,-1.78,,,,0.0,2.31,2.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
16,-,23.41,us,ABSI,Absci Corporation - Common Stock,11.41,1141,Absci Corporation - Common Stock,0,-45.8,,,6.7,,0.70,16.1,-16.32,,,,0.0,11.24,19.3,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
17,-,50.26,us,ABTC,American Bitcoin Corp. - Class A Common Stock,0.69,69,American Bitcoin Corp. - Class A Common Stock,0,15.8,,61.0,238.5,,-1.41,8.3,-5.48,,,,61.9,1.06,7.4,OCF/净利<0.8; 毛利<30.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%
18,-,34.45,us,ABTS,Abits Group Inc - Ordinary Shares,1.16,115,Abits Group Inc - Ordinary Shares,0,-140.8,,-748.4,41.5,,-0.14,8.2,-1.20,,,,0.0,0.44,0.0,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
19,-,26.7,us,ABUS,Arbutus Biopharma Corporation - Common Stock,4.70,470,Arbutus Biopharma Corporation - Common Stock,1,-57.6,,-1133.0,4.0,,0.93,26.1,5.78,1.44,17.30,8.3,0.0,3.57,9.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
20,-,38.75,us,ABVC,"ABVC BioPharma, Inc. - Common Stock",1.57,157,"ABVC BioPharma, Inc. - Common Stock",0,-352.7,99.9,-962.1,37.0,,0.37,90.4,-4.73,,,,0.0,3.79,0.4,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
21,-,27.12,us,ABVX,Abivax SA - American Depositary Shares,131.69,13169,Abivax SA - American Depositary Shares,1,,,,,,,,-26.61,,,,0.0,21.21,104.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
22,-,45.41,us,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,25.45,2544,ACADIA Pharmaceuticals Inc. - Common Stock,0,-13.0,,-8.4,71.6,,-0.27,38.3,11.60,0.16,8.62,185.2,0.0,3.49,43.6,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; 未打0.3%折
23,-,27.12,us,ACB,Aurora Cannabis Inc. - Common Shares,2.81,281,Aurora Cannabis Inc. - Common Shares,1,,,,,,,,-1.99,,,,0.0,0.47,1.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
24,-,43.32,us,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,1.69,168,Acco Group Holdings Limited - Class A Ordinary Shares,1,,47.3,17.5,,,1.16,57.1,23.01,,4.35,,0.0,10.75,0.2,ROE<15.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
25,-,14.37,us,ACDC,ProFrac Holding Corp. - Class A Common Stock,5.81,581,ProFrac Holding Corp. - Class A Common Stock,0,-8.8,,-3.7,-206.8,,-5.67,61.9,-2.42,,,,0.0,1.53,10.5,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
26,-,33.39,us,ACET,"Adicet Bio, Inc. - Common Stock",8.67,867,"Adicet Bio, Inc. - Common Stock",0,-50.6,,,17.9,,0.79,15.3,-0.74,,,,0.0,0.58,0.8,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
27,-,80.69,us,ACFN,"Acorn Energy, Inc. - Common Stock",17.20,1720,"Acorn Energy, Inc. - Common Stock",0,267.7,72.8,57.3,5189.1,,0.14,47.4,21.91,0.00,4.56,7105.1,22.8,5.15,0.4,OCF/净利<0.8; CAGR<10.0%; 盈收率≤5.0%
28,C,75.32,us,ACGL,Arch Capital Group Ltd. - Common Stock,97.37,9737,Arch Capital Group Ltd. - Common Stock,1,28.4,,32.6,201.0,46.8,1.29,68.8,6.98,0.15,14.33,201.0,25.5,1.41,340.2,毛利<30.0%
29,-,16.1,us,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",28.57,2856,"Acadia Healthcare Company, Inc. - Common Stock",0,-0.8,,-0.7,-107.9,,-21.34,46.4,-2.37,,,,0.0,1.34,26.3,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
30,-,37.75,us,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",6.20,620,"Achieve Life Sciences, Inc.  - Common Shares",1,-164.1,,,29.6,,0.82,45.9,-12.24,,,,0.0,59.61,6.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
31,-,27.12,us,ACIU,AC Immune SA - Common Stock,2.41,241,AC Immune SA - Common Stock,1,,,,,,,,-2.76,,,,0.0,4.34,2.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
32,-,28.1,us,ACIW,"ACI Worldwide, Inc. - Common Stock",50.25,5025,"ACI Worldwide, Inc. - Common Stock",1,10.0,,8.4,-14.5,18.7,1.39,52.9,24.79,,4.03,,0.0,3.40,51.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
33,-,56.18,us,ACLS,"Axcelis Technologies, Inc. - Common Stock",187.30,18730,"Axcelis Technologies, Inc. - Common Stock",0,40.8,43.5,21.8,,,0.64,24.9,57.07,,1.75,,0.0,5.51,57.6,OCF/净利<0.8; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
34,-,55.49,us,ACMR,"ACM Research, Inc. - Class A Common Stock",123.39,12338,"ACM Research, Inc. - Class A Common Stock",0,9.3,49.5,13.9,97.0,60.3,-0.97,40.9,93.70,1.55,1.07,19.3,367.5,5.39,85.3,OCF/净利<0.8; ROE<15.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
35,-,36.23,us,ACNB,ACNB Corporation - Common Stock,59.65,5965,ACNB Corporation - Common Stock,0,12.3,,27.5,-11.4,4.4,1.28,86.5,11.94,,8.38,,0.0,1.43,6.1,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
36,-,39.05,us,ACNT,Ascent Industries Co. - Common Stock,15.07,1507,Ascent Industries Co. - Common Stock,0,-11.3,13.2,-16.8,48.9,,-1.08,36.5,115.43,2.36,0.87,12.7,0.0,1.67,1.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
37,-,34.67,us,ACOG,Alpha Cognition Inc. - Common Stock,6.86,686,Alpha Cognition Inc. - Common Stock,0,491.0,,-144.7,-7.4,,0.52,22.9,-5.88,,,,0.0,2.60,1.5,OCF/净利<0.8; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
38,-,15.3,us,ACON,"Aclarion, Inc. - Common Stock",2.88,288,"Aclarion, Inc. - Common Stock",0,-933.7,-85.2,-15293.8,-42.4,,0.75,54.3,-0.88,,,,0.0,0.36,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
39,-,17.95,us,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",5.02,501,"Aclaris Therapeutics, Inc. - Common Stock",0,-74.4,,-705.5,-49.3,,0.15,29.4,-10.06,,,,0.0,4.88,7.0,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
40,-,22.99,us,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",1.76,176,"Acrivon Therapeutics, Inc. - Common Stock",1,-55.2,,,-33.4,,0.82,10.1,-0.98,,,,0.0,0.79,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
41,-,45.15,us,ACT,"Enact Holdings, Inc. - Common Stock",45.28,4528,"Enact Holdings, Inc. - Common Stock",1,16.2,,57.7,,,0.95,23.4,9.35,,10.70,,0.0,1.18,63.2,毛利<30.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
42,-,16.92,us,ACTG,Acacia Research Corporation - Common Stock,4.66,466,Acacia Research Corporation - Common Stock,0,-6.7,24.2,-29.5,-153.8,,-1.39,26.9,-24.53,,,,0.0,0.85,4.5,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
43,-,34.85,us,ACTU,"Actuate Therapeutics, Inc. - Common stock",1.57,157,"Actuate Therapeutics, Inc. - Common stock",0,31.2,,,-10.3,,0.80,98.9,-1.74,,,,0.0,9.93,0.4,负债率≥70.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
44,-,17.78,us,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",1.63,163,"Acurx Pharmaceuticals, Inc. - Common Stock",0,-235.4,,,3.3,,0.74,84.1,-0.93,,,,0.0,1.00,0.1,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
45,-,27.57,us,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,10.01,1001,American Drive Acquisition Company - Class A Ordinary Shares,0,,,,,,-0.97,4.3,,,,,0.0,1.29,2.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
46,-,41.94,us,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",4.32,432,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",1,-15.8,,-104.6,76.3,,1.50,43.4,-16.21,,,,0.0,5.50,2.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
47,C,78.62,us,ADBE,Adobe Inc. - Common Stock,204.74,20474,Adobe Inc. - Common Stock,1,37.6,87.9,28.0,14.1,1.1,1.35,53.3,11.26,10.69,8.88,1.1,124.9,7.07,813.8,CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
48,-,55.82,us,ADEA,Adeia Inc.  - Common Stock,33.79,3379,Adeia Inc.  - Common Stock,1,17.9,,17.3,170.1,-22.9,2.27,63.9,30.54,,3.27,,0.0,7.99,37.3,毛利<30.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
49,-,40.62,us,ADGM,"Adagio Medical Holdings, Inc - Common Stock",0.67,66,"Adagio Medical Holdings, Inc - Common Stock",0,18.7,,-6389.8,41.8,,0.75,58.9,-0.61,,,,0.0,2.58,0.1,OCF/净利<0.8; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
50,C,48.09,us,ADI,"Analog Devices, Inc. - Common Stock",401.21,40121,"Analog Devices, Inc. - Common Stock",1,9.4,64.0,26.9,20.6,39.5,1.45,,58.98,2.86,1.70,7.2,286.3,5.79,1954.2,ROE<15.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
51,-,20.37,us,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",2.56,256,"Adial Pharmaceuticals, Inc - Common Stock",0,-358.6,,,-157.6,,0.52,19.3,-0.72,,,,0.0,1.51,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
52,-,46.72,us,ADMA,ADMA Biologics Inc - Common Stock,8.32,832,ADMA Biologics Inc - Common Stock,0,-19.3,34.4,-10.9,57.2,,-0.31,42.4,11.67,0.20,8.57,146.9,0.0,4.94,19.3,OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; 未打0.3%折
53,-,64.6,us,ADP,"Automatic Data Processing, Inc. - Common Stock",223.90,22390,"Automatic Data Processing, Inc. - Common Stock",0,84.7,,18.9,15.7,11.4,1.23,97.7,20.60,1.80,4.85,6.7,218.6,14.09,895.0,负债率≥70.0%; 毛利<30.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
54,-,16.04,us,ADPT,Adaptive Biotechnologies Corporation - Common Stock,20.90,2090,Adaptive Biotechnologies Corporation - Common Stock,0,-88.1,,-132.3,-12.5,,0.69,62.5,-67.33,,,,0.0,15.46,33.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
55,-,27.12,us,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,11.05,1105,ADS-TEC ENERGY PLC - Ordinary Shares,1,,,,,,,,-12.82,,,,0.0,-65.36,8.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
56,B,83.79,us,ADSK,"Autodesk, Inc. - Common Stock",194.46,19446,"Autodesk, Inc. - Common Stock",2,90.7,90.4,16.4,65.6,56.6,2.52,,28.05,0.50,3.57,60.5,166.2,12.87,410.3,盈收率≤5.0%; 未打0.3%折
57,-,18.88,us,ADTN,"ADTRAN Holdings, Inc. - Common Stock",14.05,1405,"ADTRAN Holdings, Inc. - Common Stock",0,,28.8,-23.4,-13098.4,,0.16,53.1,-31.87,,,,0.0,8.28,11.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
58,-,27.12,us,ADUR,Aduro Clean Technologies Inc. - Common Stock,16.00,1600,Aduro Clean Technologies Inc. - Common Stock,1,,,,,,,,-41.92,,,,0.0,19.14,5.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
59,-,57.11,us,ADUS,Addus HomeCare Corporation - Common Stock,97.94,9794,Addus HomeCare Corporation - Common Stock,1,10.4,32.1,5.9,35.8,23.6,1.80,31.3,18.33,0.78,5.46,30.3,124.1,1.64,18.3,ROE<15.0%; 净利率<10.0%; 未打0.3%折
60,-,33.25,us,ADV,Advantage Solutions Inc.  - Class A Common Stock,42.66,4266,Advantage Solutions Inc.  - Class A Common Stock,0,,,-1.6,95.4,,-3.61,75.9,-2.33,,,,0.0,1.19,5.7,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
61,-,29.17,us,ADVB,Advanced Biomed Inc. - Common Stock,4.67,467,Advanced Biomed Inc. - Common Stock,0,,,,,,0.76,62.7,1.46,,68.49,,0.0,0.84,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
62,-,27.12,us,ADXN,Addex Therapeutics Ltd - American Depositary Shares,6.00,600,Addex Therapeutics Ltd - American Depositary Shares,1,,,,,,,,-0.85,,,,0.0,1.85,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
63,-,31.06,us,AEBI,Aebi Schmidt Holding AG - Common Stock,12.88,1287,Aebi Schmidt Holding AG - Common Stock,1,,20.3,1.1,,,2.69,66.4,84.07,,1.19,,0.0,1.22,10.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
64,-,27.12,us,AEC,Anfield Energy Inc. - Common Shares,4.49,449,Anfield Energy Inc. - Common Shares,1,,,,,,,,-4.69,,,,0.0,2.09,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
65,-,27.12,us,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,1.03,103,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,1,,,,,,,,-2.47,,,,0.0,0.70,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
66,-,37.6,us,AEI,Alset Inc. - Common Stock,1.42,142,Alset Inc. - Common Stock,0,-4.7,39.5,-18.8,93.3,,-1.30,6.8,-1.27,,,,0.0,0.46,0.6,OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
67,-,33.43,us,AEIS,"Advanced Energy Industries, Inc. - Common Stock",372.23,37223,"Advanced Energy Industries, Inc. - Common Stock",1,,35.8,,,,,46.7,74.31,,1.35,,0.0,10.23,141.6,ROE<15.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
68,-,23.11,us,AEMD,"Aethlon Medical, Inc. - Common Stock",0.82,82,"Aethlon Medical, Inc. - Common Stock",1,-76.2,,,-1.5,,0.83,30.1,-0.27,,,,0.0,0.40,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
69,-,41.85,us,AENT,Alliance Entertainment Holding Corporation - common stock,5.97,597,Alliance Entertainment Holding Corporation - common stock,0,4.9,,0.4,112.9,12.2,12.17,74.3,29.66,2.43,3.37,5.0,1186.5,5.52,6.6,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
70,-,28.67,us,AEP,"American Electric Power Company, Inc. - Common Stock",136.39,13638,"American Electric Power Company, Inc. - Common Stock",0,,,,,,,73.8,21.07,,4.75,,0.0,2.42,770.0,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
71,-,29.18,us,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",7.18,718,"Aeries Technology, Inc. - Class A Ordinary Share",0,,29.8,,,,,102.4,16.14,,6.20,,0.0,-13.58,0.4,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
72,-,18.11,us,AEVA,"Aeva Technologies, Inc. - Common Stock",29.11,2911,"Aeva Technologies, Inc. - Common Stock",0,-38.0,-136.5,-3463.2,-1.4,,0.80,32.6,-13.51,,,,0.0,-158.43,19.7,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
