rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
1,A_可买入,82.51,688336,三生国健,53.10,5310,生物制品,4,41.3,92.1,69.0,311.5,288.9,0.95,1.05,6.1,0.0,16.00,0.06,6.25,295.1,46.7,5.70,475.9,动态PE远高于TTM(盈利或下滑),
2,-,81.62,688648,中邮科技,36.55,3654,专用设备,0,33.5,8.2,45.2,523.9,99.4,-0.23,-0.37,37.0,0.0,8.04,0.08,12.44,111.8,73.2,2.31,49.7,扣非比-23%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; 毛利<30.0
3,-,80.95,002612,朗姿股份,11.21,1121,服装家纺,0,31.6,59.6,16.6,283.4,260.3,0.27,0.45,52.9,0.5,5.21,0.02,19.19,279.5,82.6,1.76,49.6,扣非比27%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8
4,-,80.03,600841,动力新科,6.10,610,汽车零部件,0,58.0,8.3,50.0,243.7,,-0.29,0.18,40.6,0.0,2.71,0.01,36.90,280.6,91.0,1.32,84.7,扣非比-29%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
5,-,76.07,000004,国华退,0.34,34,软件开发,0,9.6,81.0,3.7,104.9,,-2.50,4.65,71.0,0.0,3.82,0.04,26.18,131.1,87.3,0.52,0.5,扣非比-250%(含较多一次性收益),ST/退市; 负债率≥70.0%; ROE<15.0; 净利率<10.0; CAGR<10.0
6,A_可买入,74.8,002170,芭田股份,10.86,1086,农化制品,4,25.9,35.6,18.0,122.8,95.9,1.00,1.61,35.1,0.0,10.39,0.11,9.62,105.5,65.4,3.01,105.4,,
7,-,74.65,601628,中国人寿,35.35,3535,保险Ⅱ,0,27.8,,25.0,44.1,32.2,1.00,2.99,92.0,0.0,6.90,0.21,14.49,46.7,77.0,1.67,9991.6,,负债率≥70.0%; 毛利<30.0; PE高于行业中位
8,A_可买入,74.51,600988,赤峰黄金,26.32,2632,贵金属,4,27.1,52.5,24.4,74.7,89.8,0.99,1.73,33.9,0.0,13.94,0.19,7.17,81.9,53.5,3.66,500.2,,
9,-,74.38,000151,中成股份,10.70,1070,贸易Ⅱ,0,65.5,15.3,31.8,217.7,,-0.16,-0.69,73.4,0.0,9.48,0.04,10.55,228.2,68.4,4.29,37.5,扣非比-16%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; CAGR<10.0
10,-,73.96,601336,新华保险,59.66,5966,保险Ⅱ,0,34.7,,23.0,38.3,19.1,0.94,3.06,94.1,0.0,5.04,0.26,19.84,38.9,73.6,1.51,1861.1,,负债率≥70.0%; 毛利<30.0
11,A_可买入,73.41,300573,兴齐眼药,40.76,4076,化学制药,4,38.5,81.2,28.1,105.8,48.7,1.00,1.08,22.1,0.0,19.26,0.40,5.19,53.9,35.8,7.51,145.6,,
12,C_接近合格,73.26,601899,紫金矿业,25.14,2514,工业金属,1,33.0,27.7,14.8,61.5,37.2,0.98,1.45,51.6,0.0,10.84,0.29,9.23,46.4,63.9,3.53,6684.9,,毛利<30.0
13,-,73.0,000752,*ST西发,7.92,792,非白酒,0,34.8,42.1,33.2,449.7,,0.17,0.92,18.7,0.0,14.44,0.03,6.93,456.6,51.9,3.36,20.9,扣非比17%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),ST/退市; CAGR<10.0
14,-,72.9,002582,好想你,8.45,844,休闲食品,0,23.1,29.1,65.2,1303.6,,-0.07,0.13,29.9,0.0,1.95,0.00,51.28,1354.9,93.5,0.78,37.8,扣非比-8%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
15,-,71.79,605599,菜百股份,13.70,1370,饰品,1,26.5,8.3,3.9,57.6,35.0,0.90,1.75,50.6,0.0,8.79,0.25,11.38,46.4,70.7,2.39,106.6,,毛利<30.0; 净利率<10.0
16,A_可买入,71.3,300533,冰川网络,16.40,1639,游戏Ⅱ,4,32.9,93.3,18.9,295.6,55.4,0.88,1.40,44.8,0.0,18.89,0.34,5.29,60.7,37.0,4.18,53.8,增速或为单年爆发(同比远高于CAGR),
17,-,71.07,000600,建投能源,8.75,875,电力,1,16.6,26.6,8.2,253.7,160.3,0.97,2.89,59.2,0.0,7.76,0.05,12.89,173.2,74.1,1.31,157.8,,毛利<30.0; 净利率<10.0
18,A_可买入,70.47,688330,宏力达,33.83,3383,电网设备,4,15.6,52.2,98.0,186.3,26.0,0.28,1.00,7.0,0.0,7.51,0.29,13.32,39.4,71.2,1.09,47.4,扣非比28%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),
19,-,69.2,002058,威尔泰,20.13,2013,通用设备,0,451.1,26.0,24.8,8813.2,,0.04,0.05,73.4,0.0,13.61,0.00,7.35,8820.5,54.6,45.58,28.9,扣非比4%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; CAGR<10.0
20,-,68.8,002393,力生制药,14.19,1419,化学制药,0,8.5,55.3,29.9,125.6,64.4,0.40,0.59,16.5,0.0,10.62,0.16,9.42,73.9,64.6,0.98,43.8,扣非比40%(含较多一次性收益),现金流/利润<0.8; ROE<15.0
21,-,68.43,000656,*ST金科,1.07,107,房地产开发,0,,14.2,426.0,191.7,,-1.21,-0.06,68.0,0.0,0.37,0.00,270.27,462.0,98.8,2.75,113.3,扣非比-121%(含较多一次性收益),ST/退市; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; CAGR<10.0
22,C_接近合格,67.97,603173,福斯达,33.90,3390,专用设备,1,23.5,26.3,14.0,61.3,43.7,0.97,2.14,64.6,0.0,13.63,0.31,7.34,51.1,54.6,2.78,54.2,,毛利<30.0
23,-,67.42,920106,林泰新材,37.40,3740,汽车零部件,0,27.6,47.9,33.6,74.2,78.6,0.95,0.68,19.6,0.0,16.80,0.23,5.95,80.2,44.0,3.70,21.2,,现金流/利润<0.8
24,C_接近合格,67.23,300043,星辉娱乐,4.35,434,游戏Ⅱ,1,18.9,57.6,14.4,165.9,,0.83,1.81,37.3,0.2,13.50,0.08,7.41,173.3,55.0,3.14,54.1,,CAGR<10.0
25,B_优质待跌,67.01,688578,艾力斯,109.20,10920,化学制药,2,35.4,96.8,42.2,53.1,156.0,0.92,1.06,10.4,0.0,20.35,0.38,4.91,58.0,32.2,6.57,491.4,,盈利收益率≤5.0%
26,-,67.0,300773,拉卡拉,15.30,1530,多元金融,0,30.4,25.3,21.1,233.3,,0.26,0.52,66.2,0.1,9.99,0.04,10.01,243.3,66.7,3.65,166.4,扣非比26%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
27,-,66.84,002926,华西证券,8.17,817,证券Ⅱ,0,6.1,,31.9,102.0,51.6,1.00,5.38,76.5,0.0,13.72,0.27,7.29,58.8,54.3,0.85,214.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
28,-,66.76,600011,华能国际,7.59,759,电力,1,19.0,18.4,6.3,42.2,,0.92,5.79,65.3,0.1,8.56,0.20,11.68,53.9,71.5,1.87,1191.5,,毛利<30.0; 净利率<10.0; CAGR<10.0
29,-,65.77,002939,长城证券,8.34,834,证券Ⅱ,0,7.6,,45.3,48.9,37.8,1.00,3.22,76.0,0.0,14.21,0.38,7.04,44.8,52.6,1.03,336.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
30,C_接近合格,65.69,002602,世纪华通,14.10,1410,游戏Ⅱ,1,20.3,69.9,14.8,362.0,,1.00,1.49,29.7,0.4,16.54,0.05,6.05,368.1,44.9,3.26,1039.3,,CAGR<10.0
31,-,65.21,600861,北京人力,12.20,1220,专业服务,1,17.0,5.5,2.6,47.8,41.3,0.48,1.09,50.1,0.0,8.21,0.20,12.18,53.5,72.6,0.99,69.1,扣非比48%(含较多一次性收益),毛利<30.0; 净利率<10.0
32,A_可买入,65.15,603979,金诚信,59.03,5903,工业金属,4,23.3,33.8,16.8,47.7,56.4,0.99,1.87,49.8,0.0,14.62,0.31,6.84,54.5,51.3,3.22,368.2,,
33,B_优质待跌,65.13,603379,三美股份,75.89,7589,化学制品,2,28.1,50.6,35.2,164.8,61.9,0.99,1.04,16.5,0.0,21.38,0.35,4.68,66.6,28.7,5.87,463.3,增速或为单年爆发(同比远高于CAGR),盈利收益率≤5.0%; 未打0.7折
34,-,65.09,002736,国信证券,9.99,999,证券Ⅱ,0,10.7,,45.9,34.8,22.1,0.99,1.65,77.2,0.0,9.43,0.43,10.60,32.7,57.3,1.06,1023.2,,负债率≥70.0%; ROE<15.0; 毛利<30.0
35,-,65.05,600221,海航控股,1.35,135,航空机场,0,51.7,7.7,2.9,314.9,,0.48,8.07,96.5,0.2,17.00,0.05,5.88,320.8,43.3,8.39,583.4,扣非比48%(含较多一次性收益),负债率≥70.0%; 毛利<30.0; 净利率<10.0; CAGR<10.0
36,A_可买入,65.0,000975,山金国际,17.00,1700,贵金属,4,21.6,31.8,17.4,36.8,38.3,1.02,1.57,18.6,0.0,12.84,0.35,7.79,44.5,57.2,2.90,471.3,,
37,-,65.0,603808,歌力思,7.57,757,服装家纺,1,6.5,66.9,5.8,153.3,100.5,0.67,3.47,32.2,0.0,16.69,0.17,5.99,106.5,44.4,1.05,27.5,扣非比67%(含较多一次性收益),ROE<15.0; 净利率<10.0
38,-,64.83,002420,毅昌科技,5.44,544,家电零部件Ⅱ,0,29.7,12.4,6.4,102.1,65.8,0.10,-0.56,69.3,0.0,11.89,0.18,8.41,74.2,60.4,2.82,22.4,扣非比10%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 毛利<30.0; 净利率<10.0
39,-,64.77,002948,青岛银行,5.08,508,银行Ⅱ,0,12.7,,35.6,21.7,18.9,1.00,1.78,93.8,0.0,5.42,0.29,18.45,37.4,71.4,0.71,295.7,,负债率≥70.0%; ROE<15.0; 毛利<30.0
40,-,64.34,300972,万辰集团,173.41,17341,休闲食品,0,79.5,12.4,2.6,358.1,204.3,0.95,2.63,74.6,0.0,19.45,0.10,5.14,209.4,35.2,17.85,342.2,,负债率≥70.0%; 毛利<30.0; 净利率<10.0
41,-,63.94,688332,中科蓝讯,157.50,15750,半导体,0,30.6,22.2,76.9,371.7,115.8,0.17,0.05,7.4,0.0,20.60,0.18,4.85,120.6,31.3,5.58,281.1,扣非比17%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; 毛利<30.0; 盈利收益率≤5.0%
42,-,63.83,000913,钱江摩托,10.25,1025,摩托车及其他,0,19.1,25.2,18.0,44.4,33.0,0.29,-0.41,45.9,0.0,6.34,0.19,15.77,48.8,78.9,1.08,54.0,扣非比29%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0
43,-,63.76,601555,东吴证券,7.92,792,证券Ⅱ,0,8.3,,39.3,50.1,27.0,1.01,3.97,79.8,0.0,11.66,0.43,8.58,35.5,56.8,0.90,393.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
44,C_接近合格,63.76,600983,惠而浦,6.93,693,白色家电,1,18.3,18.3,11.6,157.6,165.0,0.91,1.51,50.1,0.0,10.64,0.07,9.40,166.9,64.5,2.08,53.1,,毛利<30.0
45,-,63.64,601211,国泰海通,18.20,1820,证券Ⅱ,0,9.8,,44.1,113.5,34.2,0.76,2.65,83.6,0.0,14.61,0.43,6.84,41.0,51.3,1.00,3208.5,增速或为单年爆发(同比远高于CAGR),负债率≥70.0%; ROE<15.0; 毛利<30.0
46,C_接近合格,63.44,000612,焦作万方,10.59,1059,工业金属,1,16.0,22.4,16.5,82.0,52.3,1.01,0.94,17.6,0.0,8.89,0.17,11.25,63.6,70.4,1.73,126.3,,毛利<30.0
47,A_可买入,63.27,600989,宝丰能源,20.33,2032,化学原料,4,24.8,35.9,23.6,79.1,21.7,1.01,1.47,46.3,0.0,11.86,0.55,8.43,30.1,45.3,3.04,1490.9,增速或为单年爆发(同比远高于CAGR),
48,-,63.05,000166,申万宏源,4.40,440,证券Ⅱ,0,8.8,,39.2,82.5,50.5,1.00,0.16,81.1,0.0,11.14,0.22,8.98,59.5,62.9,0.96,1101.8,,现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0
49,-,62.99,002284,亚太股份,9.49,949,汽车零部件,1,15.7,20.8,8.7,130.2,93.2,0.91,2.76,60.8,0.0,13.18,0.14,7.59,100.8,56.1,2.04,70.1,,毛利<30.0; 净利率<10.0
50,-,62.57,600578,京能电力,6.45,645,电力,1,14.5,21.3,10.0,101.8,63.8,0.98,3.17,64.3,0.0,12.18,0.19,8.21,72.0,59.4,1.71,431.8,,ROE<15.0; 毛利<30.0; 净利率<10.0
51,-,62.23,002259,升达林业,3.79,379,燃气Ⅱ,0,41.1,10.0,13.2,998.8,,0.22,0.51,52.0,0.0,14.45,0.01,6.92,1005.7,51.8,6.22,28.5,扣非比22%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
52,A_可买入,62.15,300515,三德科技,13.05,1305,通用设备,4,21.1,54.5,27.8,28.2,25.8,0.93,1.12,36.7,0.0,14.23,0.55,7.03,32.8,44.9,3.04,26.9,,
53,-,62.02,300442,润泽科技,83.07,8307,通信服务,0,41.8,46.0,89.0,182.1,61.5,0.38,0.67,62.8,0.0,26.21,0.43,3.82,65.3,12.6,9.54,1363.4,扣非比38%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 盈利收益率≤5.0%; 未打0.7折
54,-,61.93,920735,德源药业,23.86,2386,化学制药,0,19.7,84.1,22.4,33.9,25.2,0.97,0.66,16.8,0.0,12.52,0.50,7.99,33.2,50.4,2.34,30.8,,现金流/利润<0.8
55,-,61.82,002772,众兴菌业,11.36,1136,种植业,1,9.9,28.6,16.0,161.6,28.4,0.91,1.41,50.1,0.0,9.47,0.33,10.56,38.9,66.6,1.21,42.6,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0
56,-,61.75,300492,华图山鼎,34.35,3435,工程咨询服务Ⅱ,0,90.3,59.4,7.5,354.1,180.0,0.98,2.77,93.8,0.0,28.09,0.16,3.56,183.6,6.4,28.64,67.6,,负债率≥70.0%; 净利率<10.0; 盈利收益率≤5.0%; 未打0.7折
57,-,61.75,002299,圣农发展,15.16,1516,养殖业,1,12.6,12.6,6.9,90.5,49.8,0.61,2.90,51.7,0.1,12.68,0.25,7.89,57.6,57.7,1.68,188.4,扣非比61%(含较多一次性收益),ROE<15.0; 毛利<30.0; 净利率<10.0
58,-,61.69,605305,中际联合,41.92,4192,工程机械,0,19.1,47.3,28.2,68.5,50.6,0.94,0.51,22.3,0.0,15.89,0.31,6.29,56.9,47.0,2.99,89.1,,现金流/利润<0.8
59,-,61.42,002546,新联电子,7.28,728,电网设备,0,16.4,38.3,84.0,116.9,272.8,0.23,0.22,7.7,0.0,10.80,0.09,9.26,126.1,64.0,1.60,60.7,扣非比23%(含较多一次性收益),现金流/利润<0.8
60,C_接近合格,61.38,000899,赣能股份,9.66,966,电力,1,16.5,21.6,13.6,41.0,355.5,1.00,2.17,65.3,0.0,9.28,0.23,10.78,51.7,69.1,1.54,94.3,,毛利<30.0
61,A_可买入,61.25,603259,药明康德,124.51,12451,医疗服务,4,28.6,47.6,42.1,102.7,29.5,0.69,0.86,22.2,0.0,18.46,0.63,5.42,34.9,37.5,4.67,3715.1,扣非比69%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),
62,A_可买入,61.17,600415,小商品城,10.16,1016,一般零售,4,17.5,31.4,21.1,36.8,56.1,0.92,2.49,48.1,0.0,12.69,0.35,7.88,44.6,57.7,2.64,557.1,,
63,-,60.48,603766,隆鑫通用,11.93,1193,摩托车及其他,1,17.5,19.0,8.6,47.0,46.2,0.99,1.75,44.4,0.0,15.20,0.33,6.58,52.8,49.3,2.84,245.0,,毛利<30.0; 净利率<10.0
64,-,60.22,000685,中山公用,11.16,1116,环境治理,0,10.5,22.9,40.7,56.8,20.6,0.95,0.16,47.3,0.0,7.59,0.37,13.18,33.7,63.1,0.85,163.8,增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; ROE<15.0; 毛利<30.0
65,-,60.15,000690,宝新能源,4.70,470,电力,1,8.2,18.6,11.9,45.2,77.5,1.00,1.73,41.6,0.0,9.88,0.22,10.12,55.3,67.1,0.81,102.3,,ROE<15.0; 毛利<30.0
66,B_优质待跌,59.96,001337,四川黄金,36.66,3665,贵金属,2,28.5,62.8,45.4,87.7,32.8,1.02,1.38,39.0,0.0,24.23,0.74,4.13,37.0,19.2,8.14,154.0,增速或为单年爆发(同比远高于CAGR),盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
67,A_可买入,59.84,605499,东鹏饮料,123.43,12343,饮料乳品,4,51.6,44.9,21.2,32.7,45.3,0.95,1.40,64.7,0.0,19.31,0.59,5.18,37.9,35.6,4.76,906.2,,
68,-,59.81,601665,齐鲁银行,5.77,577,银行Ⅱ,0,12.2,,43.5,14.6,16.8,0.99,7.17,93.3,0.0,6.01,0.41,16.64,31.2,58.8,0.70,355.1,,负债率≥70.0%; ROE<15.0; 毛利<30.0; PE高于行业中位
69,-,59.76,600961,株冶集团,32.39,3239,工业金属,1,31.4,11.6,5.1,43.1,31.7,1.31,1.73,48.9,0.0,17.45,0.55,5.73,37.4,41.8,6.88,347.5,,毛利<30.0; 净利率<10.0
70,-,59.71,300926,博俊科技,17.75,1775,汽车零部件,0,27.7,26.1,14.5,37.7,78.6,1.00,0.51,61.2,0.0,9.35,0.25,10.70,48.4,68.8,2.19,77.1,,现金流/利润<0.8; 毛利<30.0
71,-,59.5,600489,中金黄金,18.05,1805,贵金属,1,17.1,16.7,6.2,45.7,37.6,1.17,1.69,41.8,0.0,13.94,0.37,7.17,44.7,53.5,2.67,874.9,,毛利<30.0; 净利率<10.0
72,-,59.34,601686,友发集团,4.83,483,普钢,1,9.9,3.2,1.3,60.0,31.8,0.70,1.61,69.4,0.0,10.51,0.33,9.51,41.3,65.0,1.06,71.1,,ROE<15.0; 毛利<30.0; 净利率<10.0
73,-,59.29,603993,洛阳钼业,17.55,1755,工业金属,1,26.6,23.9,9.8,50.3,49.7,1.00,1.03,50.3,0.0,15.55,0.31,6.43,56.1,48.2,4.54,3754.7,,毛利<30.0; 净利率<10.0
74,C_接近合格,59.25,603680,今创集团,9.81,981,轨交设备Ⅱ,1,10.5,30.3,13.4,92.7,43.1,1.03,1.21,33.7,0.0,12.37,0.29,8.08,51.2,58.8,1.34,76.9,,ROE<15.0
75,-,59.22,002928,华夏航空,6.99,699,航空机场,0,17.1,2.2,8.4,133.6,,0.97,4.01,83.8,0.0,13.18,0.10,7.59,141.2,56.1,2.25,89.3,,负债率≥70.0%; 毛利<30.0; 净利率<10.0; CAGR<10.0
76,C_接近合格,59.12,600351,亚宝药业,5.75,575,中药Ⅱ,1,11.2,52.5,14.3,31.9,45.1,0.72,1.80,14.0,0.0,12.46,0.39,8.03,39.9,58.5,1.45,39.8,,ROE<15.0
77,-,59.0,600004,白云机场,7.26,726,航空机场,1,7.5,25.3,18.5,58.6,,0.66,1.92,28.2,0.0,13.96,0.24,7.16,65.8,53.5,0.88,187.1,扣非比66%(含较多一次性收益),ROE<15.0; 毛利<30.0; CAGR<10.0
78,C_接近合格,58.83,000729,燕京啤酒,10.13,1013,非白酒,1,11.1,43.6,11.0,59.1,68.3,0.91,1.62,29.5,0.0,16.05,0.27,6.23,65.3,46.5,1.81,285.5,,ROE<15.0
79,B_优质待跌,58.28,603699,纽威股份,50.30,5030,通用设备,2,34.5,39.3,20.6,38.5,50.9,0.99,1.35,55.6,0.0,23.17,0.60,4.32,42.9,22.8,9.28,390.0,,盈利收益率≤5.0%; 未打0.7折
80,-,58.08,300456,赛微电子,42.47,4247,半导体,0,25.3,35.5,178.8,966.8,,-0.23,-0.01,21.5,0.0,21.87,0.02,4.57,971.3,27.1,4.89,311.0,扣非比-23%(含较多一次性收益),现金流/利润<0.8; CAGR<10.0; 盈利收益率≤5.0%; 未打0.7折
81,-,58.01,600098,广州发展,5.91,591,电力,1,8.6,8.7,4.6,33.9,19.7,0.45,2.42,63.4,0.0,8.62,0.44,11.60,31.3,56.1,0.77,207.2,扣非比45%(含较多一次性收益),ROE<15.0; 毛利<30.0; 净利率<10.0
82,-,57.98,000783,长江证券,9.75,975,证券Ⅱ,0,10.0,,35.0,101.4,34.8,1.03,0.56,79.6,0.0,12.83,0.37,7.79,42.6,57.2,1.53,539.2,增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0
83,-,57.84,600066,宇通客车,26.81,2681,商用车,0,38.0,24.1,13.4,34.9,94.1,0.82,0.58,52.0,0.0,10.87,0.31,9.20,44.1,63.8,5.03,593.6,动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 毛利<30.0
84,-,57.34,002553,南方精工,15.99,1599,汽车零部件,0,26.5,32.3,40.5,1316.8,92.5,0.29,0.21,17.9,0.0,22.22,0.24,4.50,97.0,25.9,3.68,56.5,扣非比29%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 盈利收益率≤5.0%; 未打0.7折
85,-,57.34,000686,东北证券,8.40,840,证券Ⅱ,0,7.4,,28.6,66.1,84.5,0.98,0.69,81.8,0.0,11.85,0.18,8.44,74.6,60.5,0.97,196.6,,现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0
86,-,57.03,601601,中国太保,28.52,2852,保险Ⅱ,0,18.0,,12.3,19.0,12.7,0.98,3.66,89.4,0.0,5.09,0.40,19.65,32.3,59.9,0.86,2743.7,,负债率≥70.0%; 毛利<30.0
87,-,56.97,603080,新疆火炬,18.50,1850,燃气Ⅱ,1,13.3,25.5,12.9,34.4,30.0,0.98,1.83,31.0,0.2,12.44,0.42,8.04,38.0,58.5,1.69,26.2,,ROE<15.0; 毛利<30.0
88,B_优质待跌,56.76,601020,华钰矿业,23.99,2399,工业金属,2,17.6,49.0,42.1,243.7,80.7,0.52,1.20,37.7,0.0,22.99,0.28,4.35,85.1,23.4,4.57,196.7,扣非比52%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),盈利收益率≤5.0%; 未打0.7折
89,C_接近合格,56.76,600738,丽尚国潮,3.60,360,一般零售,1,8.2,65.6,25.9,126.0,23.8,0.91,2.01,38.2,0.0,16.46,0.69,6.08,29.9,30.9,1.31,27.4,增速或为单年爆发(同比远高于CAGR),ROE<15.0
90,-,56.75,002437,誉衡药业,2.70,270,化学制药,0,18.0,45.3,17.6,61.9,,0.53,0.71,26.3,0.2,14.63,0.24,6.84,68.8,51.2,2.52,60.2,扣非比53%(含较多一次性收益),现金流/利润<0.8; CAGR<10.0
91,-,56.75,601009,南京银行,9.89,989,银行Ⅱ,0,12.1,,39.3,8.1,5.8,0.99,9.66,93.0,0.0,5.48,0.94,18.25,24.1,54.3,0.66,1222.8,,负债率≥70.0%; ROE<15.0; 毛利<30.0; 同比增速<10.0; CAGR<10.0
92,-,56.59,600926,杭州银行,14.45,1445,银行Ⅱ,0,14.7,,49.0,12.1,17.7,0.99,8.26,93.1,0.0,5.33,0.44,18.76,30.8,55.8,0.76,1047.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
93,A_可买入,56.53,603558,健盛集团,11.09,1109,纺织制造,4,16.5,30.2,15.6,24.6,15.7,0.83,1.58,39.4,0.0,8.71,0.56,11.48,27.1,44.4,1.70,38.0,,
94,-,56.44,601128,常熟银行,5.82,582,银行Ⅱ,0,14.1,,36.3,10.7,15.4,1.00,4.36,91.7,0.0,4.89,0.46,20.45,31.1,59.2,0.67,212.3,,负债率≥70.0%; ROE<15.0; 毛利<30.0
95,-,56.36,300694,蠡湖股份,9.60,960,汽车零部件,1,8.5,14.5,8.7,121.0,37.0,0.12,1.66,23.9,0.0,15.95,0.43,6.27,43.3,46.8,1.39,20.8,扣非比12%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),ROE<15.0; 毛利<30.0; 净利率<10.0
96,A_可买入,56.34,600660,福耀玻璃,50.44,5044,汽车零部件,4,25.6,37.3,20.3,24.2,25.1,0.98,1.29,46.4,0.0,14.64,0.60,6.83,31.0,39.5,3.66,1316.4,,
97,-,56.26,300509,新美星,8.38,838,专用设备,0,20.0,27.6,10.1,172.9,53.5,0.98,1.73,73.8,0.0,19.46,0.36,5.14,58.6,35.1,3.62,24.8,增速或为单年爆发(同比远高于CAGR),负债率≥70.0%; 毛利<30.0
98,-,56.25,920768,拾比佰,6.70,670,家电零部件Ⅱ,1,7.9,10.5,3.0,1569.8,60.7,0.98,1.76,52.7,0.0,17.72,0.29,5.64,66.4,40.9,1.48,10.4,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0; 净利率<10.0
99,-,56.2,601881,中国银河,12.57,1257,证券Ⅱ,0,9.8,,44.2,24.8,17.2,1.00,2.21,82.7,0.0,10.72,0.62,9.33,26.6,37.8,1.13,1374.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
100,-,56.12,300511,雪榕生物,5.03,503,种植业,1,2.3,13.6,1.5,104.8,,0.20,12.98,58.0,0.0,16.47,0.16,6.07,110.9,45.1,1.81,32.2,扣非比20%(含较多一次性收益),ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0
101,-,55.89,600686,金龙汽车,11.29,1129,商用车,0,13.9,12.7,1.9,196.9,,0.43,3.57,84.8,0.0,14.16,0.07,7.06,204.0,52.8,2.23,81.0,扣非比43%(含较多一次性收益),负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0
102,-,55.88,000885,城发环境,12.03,1203,环境治理,1,13.8,39.5,18.8,8.3,5.4,0.77,1.68,67.5,0.0,6.05,1.12,16.53,21.9,49.6,0.81,77.2,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0
103,-,55.75,000981,山子高科,2.88,288,汽车零部件,0,56.8,15.4,31.4,158.9,,-1.27,-0.13,63.4,0.2,24.08,0.15,4.15,163.0,19.7,9.29,287.9,扣非比-127%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0; 盈利收益率≤5.0%; 未打0.7折
104,-,55.65,601991,大唐发电,7.08,708,电力,0,18.1,19.1,6.1,63.9,,1.08,6.48,70.1,0.0,16.29,0.25,6.14,70.0,45.7,3.56,1310.3,,负债率≥70.0%; 毛利<30.0; 净利率<10.0; CAGR<10.0
105,-,55.42,688208,道通科技,25.19,2519,计算机设备,0,26.0,56.1,19.4,46.0,109.3,0.93,0.63,49.2,0.0,18.13,0.39,5.52,51.5,39.6,4.79,168.8,,现金流/利润<0.8
106,-,55.42,301283,聚胶股份,24.48,2448,化学制品,1,11.9,20.4,8.9,144.6,29.9,0.97,4.05,35.3,0.0,14.56,0.49,6.87,36.7,51.3,1.78,28.5,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0; 净利率<10.0
107,-,55.32,600919,江苏银行,10.78,1078,银行Ⅱ,0,13.1,,39.2,8.3,10.8,0.99,17.36,92.9,0.0,5.60,0.67,17.86,26.2,53.3,0.75,1978.3,,负债率≥70.0%; ROE<15.0; 毛利<30.0; 同比增速<10.0; PE高于行业中位
