rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
4835,-,8.5,002182,宝武镁业,15.57,1557,小金属,0,-0.3,10.6,-0.2,-111.6,,,,59.7,0.0,-370.82,,,,0.0,2.92,154.4,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4836,-,8.5,002180,奔图科技,16.36,1636,计算机设备,0,-7.7,29.4,-4.3,-195.9,,,,45.7,0.0,-31.52,,,,0.0,2.55,232.6,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4837,-,8.5,002176,江特电机,10.01,1001,电机Ⅱ,0,-11.1,2.0,-18.9,-15.7,,,,50.3,0.0,-33.76,,,,0.0,5.78,170.8,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4838,-,8.5,002175,*ST东智,2.26,225,通用设备,0,-4.9,27.2,-10.3,-297.0,,,,25.2,0.0,-80.89,,,,0.0,3.73,28.9,,ST/退市; 亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4839,-,8.5,002163,海南发展,8.34,834,装修装饰Ⅱ,0,-56.6,13.4,-13.5,-24.5,,,,85.2,0.2,-15.27,,,,0.0,11.85,70.5,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4840,-,8.5,002157,正邦科技,2.81,281,养殖业,0,-4.9,8.0,-3.7,-352.5,,,,50.1,0.0,-22.97,,,,0.0,2.49,259.9,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4841,-,8.5,002146,荣盛发展,1.07,107,房地产开发,0,-92.0,8.2,-35.3,-11.7,,,,93.7,0.0,-0.51,,,,0.0,0.92,46.5,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4842,-,8.5,002136,安 纳 达,13.08,1308,化学原料,0,-8.3,-0.5,-5.5,-922.5,,,,39.6,0.0,-37.54,,,,0.0,2.58,28.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4843,-,8.5,002129,TCL中环,12.02,1202,光伏设备,0,-35.2,-6.4,-31.9,5.7,,,,66.6,0.0,-5.40,,,,0.0,2.43,486.0,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4844,-,8.5,002127,南极电商,2.74,274,互联网电商,0,-7.0,12.8,-10.8,-19.0,,,,14.1,0.0,-28.59,,,,0.0,1.80,67.3,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
