rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
11,-,17.95,us,ABCL,AbCellera Biologics Inc. - Common Shares,7.85,7.85,AbCellera Biologics Inc. - Common Shares,0,-13.0,,-385.0,-192.4,,0.30,22.4,-16.65,,,,0.0,2.56,24.0,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
12,-,20.93,us,ABEO,Abeona Therapeutics Inc. - Common Stock,6.18,6.18,Abeona Therapeutics Inc. - Common Stock,1,-306.5,,-1095.1,-17.6,,0.88,59.6,5.33,,18.76,,0.0,2.43,3.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
13,-,59.08,us,ABLV,Able View Global Inc. - Class B Ordinary Shares,1.10,1.10,Able View Global Inc. - Class B Ordinary Shares,0,170.6,23.5,7.5,23.4,,2.42,85.1,66.25,2.84,1.51,8.2,23.9,6.99,0.5,负债率≥70.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%
14,-,73.28,us,ABNB,"Airbnb, Inc. - Class A Common Stock",143.10,143.10,"Airbnb, Inc. - Class A Common Stock",1,92.7,,48.3,153.1,,0.81,59.9,34.27,0.22,2.92,134.1,60.0,11.29,862.5,毛利<30.0%; CAGR<10.0%; 盈收率≤5.0%
15,-,23.23,us,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",2.67,2.67,"Acumen Pharmaceuticals, Inc. - Common Stock",1,-44.9,,,-95.4,,0.84,23.9,-1.70,,,,0.0,2.20,1.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
16,-,23.41,us,ABSI,Absci Corporation - Common Stock,11.59,11.59,Absci Corporation - Common Stock,0,-45.8,,,6.7,,0.70,16.1,-16.58,,,,0.0,11.42,19.6,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
17,-,50.26,us,ABTC,American Bitcoin Corp. - Class A Common Stock,0.68,0.68,American Bitcoin Corp. - Class A Common Stock,0,15.8,,61.0,238.5,,-1.41,8.3,-5.39,,,,60.9,1.04,7.2,OCF/净利<0.8; 毛利<30.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%
18,-,34.45,us,ABTS,Abits Group Inc - Ordinary Shares,1.16,1.16,Abits Group Inc - Ordinary Shares,0,-140.8,,-748.4,41.5,,-0.14,8.2,-1.20,,,,0.0,0.44,0.0,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
19,-,26.6,us,ABUS,Arbutus Biopharma Corporation - Common Stock,4.80,4.80,Arbutus Biopharma Corporation - Common Stock,1,-57.6,,-1133.0,4.0,,0.93,26.1,5.90,1.47,16.95,8.2,0.0,3.64,9.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
20,-,38.75,us,ABVC,"ABVC BioPharma, Inc. - Common Stock",1.58,1.58,"ABVC BioPharma, Inc. - Common Stock",0,-352.7,99.9,-962.1,37.0,,0.37,90.4,-4.76,,,,0.0,3.81,0.4,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
21,-,27.12,us,ABVX,Abivax SA - American Depositary Shares,133.26,133.26,Abivax SA - American Depositary Shares,1,,,,,,,,-26.92,,,,0.0,21.46,105.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
22,-,45.41,us,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,25.30,25.30,ACADIA Pharmaceuticals Inc. - Common Stock,0,-13.0,,-8.4,71.6,,-0.27,38.3,11.53,0.16,8.67,186.4,0.0,3.47,43.3,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; 未打0.3%折
23,-,27.12,us,ACB,Aurora Cannabis Inc. - Common Shares,2.79,2.79,Aurora Cannabis Inc. - Common Shares,1,,,,,,,,-1.98,,,,0.0,0.47,1.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
24,-,43.32,us,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,1.68,1.68,Acco Group Holdings Limited - Class A Ordinary Shares,1,,47.3,17.5,,,1.16,57.1,42.26,,2.37,,0.0,4.05,0.2,ROE<15.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
25,-,14.37,us,ACDC,ProFrac Holding Corp. - Class A Common Stock,5.81,5.81,ProFrac Holding Corp. - Class A Common Stock,0,-8.8,,-3.7,-206.8,,-5.67,61.9,-2.42,,,,0.0,1.53,10.5,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
26,-,33.39,us,ACET,"Adicet Bio, Inc. - Common Stock",8.64,8.64,"Adicet Bio, Inc. - Common Stock",0,-50.6,,,17.9,,0.79,15.3,-0.74,,,,0.0,0.58,0.8,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
27,-,80.69,us,ACFN,"Acorn Energy, Inc. - Common Stock",17.03,17.03,"Acorn Energy, Inc. - Common Stock",0,267.7,72.8,57.3,5189.1,,0.14,47.4,21.69,0.00,4.61,7177.1,22.6,5.10,0.4,OCF/净利<0.8; CAGR<10.0%; 盈收率≤5.0%
28,C,75.32,us,ACGL,Arch Capital Group Ltd. - Common Stock,97.06,97.06,Arch Capital Group Ltd. - Common Stock,1,28.4,,32.6,201.0,46.8,1.29,68.8,6.96,0.15,14.37,201.6,25.4,1.40,339.1,毛利<30.0%
29,-,16.1,us,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",29.53,29.53,"Acadia Healthcare Company, Inc. - Common Stock",0,-0.8,,-0.7,-107.9,,-21.34,46.4,-2.45,,,,0.0,1.39,27.2,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
30,-,37.75,us,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",6.53,6.53,"Achieve Life Sciences, Inc.  - Common Shares",1,-164.1,,,29.6,,0.82,45.9,-12.89,,,,0.0,62.78,6.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
31,-,27.12,us,ACIU,AC Immune SA - Common Stock,2.38,2.38,AC Immune SA - Common Stock,1,,,,,,,,-2.73,,,,0.0,4.29,2.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
32,-,28.1,us,ACIW,"ACI Worldwide, Inc. - Common Stock",50.29,50.29,"ACI Worldwide, Inc. - Common Stock",1,10.0,,8.4,-14.5,18.7,1.39,52.9,24.81,,4.03,,0.0,3.41,51.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
33,-,56.18,us,ACLS,"Axcelis Technologies, Inc. - Common Stock",189.45,189.45,"Axcelis Technologies, Inc. - Common Stock",0,40.8,43.5,21.8,,,0.64,24.9,57.72,,1.73,,0.0,5.57,58.2,OCF/净利<0.8; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
34,-,55.17,us,ACMR,"ACM Research, Inc. - Class A Common Stock",126.89,126.89,"ACM Research, Inc. - Class A Common Stock",0,9.3,49.5,13.9,97.0,60.3,-0.97,40.9,96.36,1.60,1.04,18.8,377.9,5.54,87.7,OCF/净利<0.8; ROE<15.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
35,-,36.23,us,ACNB,ACNB Corporation - Common Stock,59.38,59.38,ACNB Corporation - Common Stock,0,12.3,,27.5,-11.4,4.4,1.28,86.5,11.88,,8.42,,0.0,1.43,6.1,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
36,-,39.07,us,ACNT,Ascent Industries Co. - Common Stock,15.03,15.03,Ascent Industries Co. - Common Stock,0,-11.3,13.2,-16.8,48.9,,-1.08,36.5,115.12,2.35,0.87,12.8,0.0,1.66,1.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
37,-,34.67,us,ACOG,Alpha Cognition Inc. - Common Stock,7.22,7.22,Alpha Cognition Inc. - Common Stock,0,491.0,,-144.7,-7.4,,0.52,22.9,-6.18,,,,0.0,2.74,1.6,OCF/净利<0.8; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
38,-,15.3,us,ACON,"Aclarion, Inc. - Common Stock",2.88,2.88,"Aclarion, Inc. - Common Stock",0,-933.7,-85.2,-15293.8,-42.4,,0.75,54.3,-0.88,,,,0.0,0.36,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
39,-,17.95,us,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",5.29,5.29,"Aclaris Therapeutics, Inc. - Common Stock",0,-74.4,,-705.5,-49.3,,0.15,29.4,-10.61,,,,0.0,5.14,7.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
40,-,22.99,us,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",1.78,1.78,"Acrivon Therapeutics, Inc. - Common Stock",1,-55.2,,,-33.4,,0.82,10.1,-0.99,,,,0.0,0.80,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
41,-,45.15,us,ACT,"Enact Holdings, Inc. - Common Stock",45.71,45.71,"Enact Holdings, Inc. - Common Stock",1,16.2,,57.7,,,0.95,23.4,9.44,,10.59,,0.0,1.19,63.8,毛利<30.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
42,-,16.92,us,ACTG,Acacia Research Corporation - Common Stock,4.66,4.66,Acacia Research Corporation - Common Stock,0,-6.7,24.2,-29.5,-153.8,,-1.39,26.9,-24.53,,,,0.0,0.85,4.5,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
43,-,34.85,us,ACTU,"Actuate Therapeutics, Inc. - Common stock",1.53,1.53,"Actuate Therapeutics, Inc. - Common stock",0,31.2,,,-10.3,,0.80,98.9,-1.70,,,,0.0,9.67,0.4,负债率≥70.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
44,-,17.78,us,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",1.55,1.55,"Acurx Pharmaceuticals, Inc. - Common Stock",0,-235.4,,,3.3,,0.74,84.1,-0.89,,,,0.0,0.95,0.1,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
45,-,27.57,us,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,10.02,10.02,American Drive Acquisition Company - Class A Ordinary Shares,0,,,,,,-0.97,4.3,,,,,0.0,1.29,2.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
46,-,41.94,us,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",4.20,4.20,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",1,-15.8,,-104.6,76.3,,1.50,43.4,-15.76,,,,0.0,5.35,2.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
47,C,78.62,us,ADBE,Adobe Inc. - Common Stock,205.02,205.02,Adobe Inc. - Common Stock,1,37.6,87.9,28.0,14.1,1.1,1.35,53.3,11.27,10.70,8.87,1.1,125.1,7.08,815.0,CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
48,-,55.82,us,ADEA,Adeia Inc.  - Common Stock,32.93,32.93,Adeia Inc.  - Common Stock,1,17.9,,17.3,170.1,-22.9,2.27,63.9,29.76,,3.36,,0.0,7.78,36.3,毛利<30.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
49,-,40.62,us,ADGM,"Adagio Medical Holdings, Inc - Common Stock",0.65,0.65,"Adagio Medical Holdings, Inc - Common Stock",0,18.7,,-6389.8,41.8,,0.75,58.9,-0.59,,,,0.0,2.53,0.1,OCF/净利<0.8; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
50,C,48.13,us,ADI,"Analog Devices, Inc. - Common Stock",397.17,397.17,"Analog Devices, Inc. - Common Stock",1,9.4,64.0,26.9,20.6,39.5,1.45,,58.39,2.84,1.71,7.3,283.4,5.73,1934.6,ROE<15.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
51,-,20.37,us,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",2.56,2.56,"Adial Pharmaceuticals, Inc - Common Stock",0,-358.6,,,-157.6,,0.52,19.3,-0.72,,,,0.0,1.51,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
52,-,46.72,us,ADMA,ADMA Biologics Inc - Common Stock,8.37,8.37,ADMA Biologics Inc - Common Stock,0,-19.3,34.4,-10.9,57.2,,-0.31,42.4,11.73,0.21,8.53,146.2,0.0,4.97,19.4,OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; 未打0.3%折
53,-,64.6,us,ADP,"Automatic Data Processing, Inc. - Common Stock",223.95,223.95,"Automatic Data Processing, Inc. - Common Stock",0,84.7,,18.9,15.7,11.4,1.23,97.7,20.60,1.80,4.85,6.7,218.6,14.10,895.2,负债率≥70.0%; 毛利<30.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
54,-,16.04,us,ADPT,Adaptive Biotechnologies Corporation - Common Stock,21.45,21.45,Adaptive Biotechnologies Corporation - Common Stock,0,-88.1,,-132.3,-12.5,,0.69,62.5,-69.10,,,,0.0,15.87,34.3,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
55,-,27.12,us,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,12.75,12.75,ADS-TEC ENERGY PLC - Ordinary Shares,1,,,,,,,,-14.79,,,,0.0,-75.42,9.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
56,B,83.79,us,ADSK,"Autodesk, Inc. - Common Stock",194.42,194.42,"Autodesk, Inc. - Common Stock",2,90.7,90.4,16.4,65.6,56.6,2.52,,28.04,0.50,3.57,60.5,166.2,12.86,410.2,盈收率≤5.0%; 未打0.3%折
57,-,18.88,us,ADTN,"ADTRAN Holdings, Inc. - Common Stock",13.90,13.90,"ADTRAN Holdings, Inc. - Common Stock",0,,28.8,-23.4,-13098.4,,0.16,53.1,-31.53,,,,0.0,8.19,11.3,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
58,-,27.12,us,ADUR,Aduro Clean Technologies Inc. - Common Stock,15.76,15.76,Aduro Clean Technologies Inc. - Common Stock,1,,,,,,,,-41.28,,,,0.0,18.85,5.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
59,-,57.11,us,ADUS,Addus HomeCare Corporation - Common Stock,100.47,100.47,Addus HomeCare Corporation - Common Stock,1,10.4,32.1,5.9,35.8,23.6,1.80,31.3,18.80,0.80,5.32,29.5,127.3,1.68,18.8,ROE<15.0%; 净利率<10.0%; 未打0.3%折
60,-,33.25,us,ADV,Advantage Solutions Inc.  - Class A Common Stock,43.24,43.24,Advantage Solutions Inc.  - Class A Common Stock,0,,,-1.6,95.4,,-3.61,75.9,-2.36,,,,0.0,1.20,5.7,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
61,-,29.17,us,ADVB,Advanced Biomed Inc. - Common Stock,4.65,4.65,Advanced Biomed Inc. - Common Stock,0,,,,,,0.76,62.7,1.45,,68.97,,0.0,0.83,0.1,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
62,-,27.12,us,ADXN,Addex Therapeutics Ltd - American Depositary Shares,5.70,5.70,Addex Therapeutics Ltd - American Depositary Shares,1,,,,,,,,-0.81,,,,0.0,1.76,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
63,-,31.06,us,AEBI,Aebi Schmidt Holding AG - Common Stock,12.55,12.55,Aebi Schmidt Holding AG - Common Stock,1,,20.3,1.1,,,2.69,66.4,81.95,,1.22,,0.0,1.19,9.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
64,-,27.12,us,AEC,Anfield Energy Inc. - Common Shares,4.37,4.37,Anfield Energy Inc. - Common Shares,1,,,,,,,,-4.56,,,,0.0,2.03,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
65,-,27.12,us,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,1.02,1.02,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,1,,,,,,,,-2.45,,,,0.0,0.69,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
66,-,37.6,us,AEI,Alset Inc. - Common Stock,1.44,1.44,Alset Inc. - Common Stock,0,-4.7,39.5,-18.8,93.3,,-1.30,6.8,-1.28,,,,0.0,0.47,0.6,OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
67,-,33.43,us,AEIS,"Advanced Energy Industries, Inc. - Common Stock",372.87,372.87,"Advanced Energy Industries, Inc. - Common Stock",1,,35.8,,,,,46.7,74.44,,1.34,,0.0,10.24,141.8,ROE<15.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
68,-,23.11,us,AEMD,"Aethlon Medical, Inc. - Common Stock",0.82,0.82,"Aethlon Medical, Inc. - Common Stock",1,-76.2,,,-1.5,,0.83,30.1,-0.27,,,,0.0,0.40,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
69,-,41.92,us,AENT,Alliance Entertainment Holding Corporation - common stock,5.84,5.84,Alliance Entertainment Holding Corporation - common stock,0,4.9,,0.4,112.9,12.2,12.17,74.3,29.01,2.38,3.45,5.1,1160.7,5.40,6.5,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
70,-,28.67,us,AEP,"American Electric Power Company, Inc. - Common Stock",136.81,136.81,"American Electric Power Company, Inc. - Common Stock",0,,,,,,,73.8,21.14,,4.73,,0.0,2.42,772.4,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
71,-,29.18,us,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",7.25,7.25,"Aeries Technology, Inc. - Class A Ordinary Share",0,,29.8,,,,,102.4,16.29,,6.14,,0.0,-13.71,0.4,负债率≥70.0%; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
