rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
1,-,25.97,us,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,10.49,10.49,Artius II Acquisition Inc. - Class A Ordinary Shares,0,,,,,,-0.00,112.0,53.27,,1.88,,0.0,1.35,2.9,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2,-,19.12,us,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",1.03,1.03,"ATA Creativity Global - American Depositary Shares, each representing two common shares",0,-88.6,48.6,-17.9,-38.9,,0.33,92.2,-6.55,,,,0.0,9.83,0.4,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
3,-,52.19,us,AAL,"American Airlines Group, Inc. - Common Stock",18.07,18.07,"American Airlines Group, Inc. - Common Stock",1,-12.5,,1.6,547.2,,4.63,,59.16,0.11,1.69,277.5,48.5,-2.93,119.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; 盈收率≤5.0%
4,-,30.02,us,AAME,Atlantic American Corporation - Common Stock,1.67,1.67,Atlantic American Corporation - Common Stock,1,,,,,,,,6.67,,14.99,,0.0,0.31,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
5,-,23.27,us,AAOI,"Applied Optoelectronics, Inc. - Common Stock",148.16,148.16,"Applied Optoelectronics, Inc. - Common Stock",0,-25.5,27.1,-25.8,15.6,,0.14,58.1,-274.33,,,,0.0,10.75,118.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
6,-,46.59,us,AAON,"AAON, Inc. - Common Stock",126.86,126.86,"AAON, Inc. - Common Stock",1,,,,77.0,31.0,0.89,,87.98,2.84,1.14,10.6,195.0,11.12,103.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
7,-,27.12,us,AAPG,Ascentage Pharma Group International - American Depository Shares,17.56,17.56,Ascentage Pharma Group International - American Depository Shares,1,,,,,,,,-9.27,,,,0.0,8.70,16.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
8,-,54.04,us,AAPL,Apple Inc. - Common Stock,289.36,289.36,Apple Inc. - Common Stock,0,170.5,44.1,25.3,-2.8,19.1,1.14,84.4,34.67,,2.88,,0.0,39.91,42499.3,负债率≥70.0%; 同比<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
9,-,30.98,us,AARD,"Aardvark Therapeutics, Inc. - Common Stock",5.76,5.76,"Aardvark Therapeutics, Inc. - Common Stock",1,,,,,,0.88,7.0,-1.80,,,,0.0,1.44,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
10,-,15.75,us,ABAT,American Battery Technology Company - Common Stock,2.83,2.83,American Battery Technology Company - Common Stock,0,-95.0,-862.1,-15284.4,-146.0,,0.32,20.9,-6.07,,,,0.0,3.42,3.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
