rank,status,basic_status,enhanced_status,final_action,code,name,stock_code,stock_name,price,premium_rt,double_low,rating,remaining_scale,remaining_years,change_pct,maturity_date,convert_price,convert_value,stock_price,pb,turnover,risk_reasons,enhanced_reasons,maturity_redeem_price,maturity_yield_est,call_gap_pct,put_gap_pct,down_revision_gap_pct,has_conditional_resale,source
678,剔除,剔除,增强排除,排除,123044,红相转债,300427,红相股份,,,,A-,5.85,-1.574,,2024-12-03 00:00:00,,,6.72,2.84,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,118.0,,,,,True,eastmoney_datacenter+quote_board
679,剔除,剔除,增强排除,排除,123045,雷迪转债,300652,雷迪克,,,,A+,2.885,-3.83,,2022-09-01 00:00:00,,,33.59,2.92,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,113.0,,,,,True,eastmoney_datacenter+quote_board
680,剔除,剔除,增强排除,排除,123046,天铁转债,300587,天铁科技,,,,AA-,3.99,-2.727,,2023-10-09 00:00:00,,,3.97,2.3,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,112.0,,,,,True,eastmoney_datacenter+quote_board
681,剔除,剔除,增强排除,排除,123047,久吾转债,300631,久吾高科,,,,A+,2.54,-4.693,,2021-10-21 00:00:00,,,23.95,2.26,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,121.0,,,,,True,eastmoney_datacenter+quote_board
682,剔除,剔除,增强排除,排除,123048,应急转债,300527,ST应急,,,,AA+,8.189312,-0.841,,2025-08-28 00:00:00,,,6.8,2.39,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；正股或转债含 ST/退/R 标记；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；正股或转债含 ST/退/R 标记；剩余期限<0.5年,108.0,,,,,True,eastmoney_datacenter+quote_board
683,剔除,剔除,增强排除,排除,123049,维尔转债,300190,维尔利,,,,A-,9.172387,-0.216,,2026-04-13 00:00:00,,,4.14,1.26,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,118.0,,,,,True,eastmoney_datacenter+quote_board
684,剔除,剔除,增强排除,排除,123050,聚飞转债,300303,聚飞光电,,,,AA-,7.046881,-1.585,,2024-11-29 00:00:00,,,10.31,3.97,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,118.0,,,,,True,eastmoney_datacenter+quote_board
685,剔除,剔除,增强排除,排除,123051,今天转债,300532,今天国际,,,,A+,2.8,-4.709,,2021-10-15 00:00:00,,,6.39,2.32,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,116.0,,,,,True,eastmoney_datacenter+quote_board
686,剔除,剔除,增强排除,排除,123052,飞鹿转债,300665,飞鹿股份,,,,A,1.77,-0.887,,2025-08-11 00:00:00,,,10.07,5.13,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余规模<2亿；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余规模<2亿；剩余期限<0.5年,120.0,,,,,True,eastmoney_datacenter+quote_board
687,剔除,剔除,增强排除,排除,123053,宝通转债,300031,宝通科技,,,,AA-,5.0,-4.498,,2021-12-31 00:00:00,,,28.26,2.92,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
688,剔除,剔除,增强排除,排除,123054,思特转债,300608,思特奇,,,,AA-,2.71,-0.09,,2026-05-29 00:00:00,,,10.71,2.61,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
689,剔除,剔除,增强排除,排除,123055,晨光转债,300138,晨光生物,,,,AA-,6.3,-5.344,,2021-02-25 00:00:00,,,9.31,1.35,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,118.0,,,,,True,eastmoney_datacenter+quote_board
690,剔除,剔除,增强排除,排除,123056,雪榕转债,300511,雪榕生物,,,,A,5.85,-0.709,,2025-10-15 00:00:00,,,5.43,1.95,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
691,剔除,剔除,增强排除,排除,123057,美联转债,300586,美联新材,,,,AA-,2.0674,-3.217,,2023-04-13 00:00:00,,,16.56,6.38,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,112.0,,,,,True,eastmoney_datacenter+quote_board
